ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
BANR,67.76,65.41,60.12,3.59,617300,200110,3.08,64.1,88.09,5.4,5.56,8.09,63.01,True,7.53,83,B+,SOLID,🟡
MBLY,8.7,8.18,7.05,6.36,22586200,6855110,3.29,8.02,11.31,7.86,3.82,13.81,7.46,True,16.65,82,B+,SOLID,🟡
PENN,17.26,16.49,14.16,4.67,11307100,3592665,3.15,16.16,22.44,6.37,4.71,14.13,15.27,True,13.06,82,B+,SOLID,🟡
CHDN,97.91,95.48,86.47,2.55,1997900,879780,2.27,93.57,127.28,4.43,6.77,9.44,89.9,True,8.91,77,B+,SOLID,🟡
CPRX,27.68,26.45,24.38,4.65,2968200,1202005,2.47,25.92,35.98,6.35,4.72,7.83,25.32,True,9.33,76,B+,SOLID,🟡
CSX,46.18,43.8,40.34,5.43,26655100,12519960,2.13,42.92,60.03,7.05,4.25,7.9,42.1,True,9.7,76,B+,SOLID,🟡
CX,12.51,12.28,11.02,1.87,15953400,5707170,2.8,12.03,16.26,3.8,7.89,10.26,11.61,True,7.73,73,B,SOLID,🟡
EQPT,24.53,24.04,18.8,2.04,5046400,1667120,3.03,23.56,31.89,3.96,7.58,21.8,20.8,True,17.93,72,B,SOLID,🟡
SIGI,84.38,83.97,75.24,0.49,1469100,549140,2.68,82.29,109.69,2.48,12.12,10.4,79.21,True,6.53,66,C+,MARGINAL,🟠
APLD,36.35,34.16,22.62,6.41,55285700,23594595,2.34,33.48,47.25,7.9,3.8,33.78,27.83,True,30.62,65,C+,MARGINAL,🟠
SKLZ,12.45,4.49,2.41,177.28,30089900,174400,172.53,4.4,16.18,64.66,0.46,46.21,3.41,True,265.21,64,C+,MARGINAL,🟠
STM,49.71,45.11,32.63,10.2,25588800,10016775,2.55,44.21,64.62,11.07,2.71,27.67,38.94,True,27.64,64,C+,MARGINAL,🟠
